TopDepth,MidDepth,BotDepth,Oxygen18,Deuterium,TopTime,MidTime,BotTime
33.78205,33.87262442,33.96319884,-33.4,-261.4,2008.27890350877,2008.19945226316,2008.12000101754
33.96319884,34.06317869,34.16315854,-31.4,-248.2,2008.12000101754,2008.03229939474,2007.96934051456
34.16315854,34.26572023,34.36828193,-31.2,-241.2,2007.96934051456,2007.91955328641,2007.8697660534
34.36828193,34.45929122,34.55030051,-32.3,-251.5,2007.8697660534,2007.82558678641,2007.78140751942
34.55030051,34.65569678,34.76109305,-30.9,-242.4,2007.78140751942,2007.73024428155,2007.67908104369
34.76109305,34.85788532,34.95467759,-24,-185.6,2007.67908104369,2007.63209450485,2007.58510796602
34.95467759,35.0668388,35.179,-19.3,-147.8,2007.58510796602,2007.5306607767,2007.47621359223
35.179,35.27588545,35.3727709,-22.8,-178.1,2007.47621359223,2007.42918182039,2007.38215004854
35.3727709,35.4729828,35.5731947,-23.3,-182.7,2007.38215004854,2007.33350349515,2007.28485694175
35.5731947,35.6807532,35.78831171,-27.2,-213.1,2007.28485694175,2007.23264407767,2007.18043120874
35.78831171,35.88670063,35.98508955,-29.8,-233.9,2007.18043120874,2007.13266959709,2007.08490798544
35.98508955,36.08131546,36.17754137,-25.8,-200.4,2007.08490798544,2007.03819637864,2006.99061958824
36.17754137,36.27369694,36.36985252,-23.8,-183.3,2006.99061958824,2006.93919949733,2006.88777940107
36.36985252,36.45822699,36.54660147,-27.6,-213.9,2006.88777940107,2006.8405203262,2006.79326124599
36.54660147,36.64847013,36.7503388,-26.2,-203.1,2006.79326124599,2006.73878602674,2006.68431080214
36.7503388,36.84778983,36.94524085,-25,-193.4,2006.68431080214,2006.63219795187,2006.58008510695
36.94524085,37.04522115,37.14520144,-28.6,-221.4,2006.58008510695,2006.52661970588,2006.47315431016
37.14520144,37.23666077,37.3281201,-26.3,-205.2,2006.47315431016,2006.42424557754,2006.37533684492
37.3281201,37.41280144,37.49748278,-24.3,-189.6,2006.37533684492,2006.33005270588,2006.28476856684
37.49748278,37.59174228,37.68600179,-28.8,-226.1,2006.28476856684,2006.23436241711,2006.18395626203
