Top Depth,Bot Depth,Mid Depth,MSA,Chloride,Nitrate,Sulfate,Sodium,Ammonium,Potassium,Magnesium,Calcium,Sr88(LR),Cd111(LR),Cs133(LR),Ba137(LR),La139(LR),Ce140(LR),Pr141(LR),Pb208(LR),Bi209(LR),U238(LR),As75(LR),Li7(LR),Al27(MR),S32(MR),Ca44(MR),Ti47(MR),V51(MR),Cr52(MR),Mn55(MR),Fe56(MR),Co59(MR),Cu63(MR),Zn66(MR),As75(HR),K39(HR),Na23(MR),Mg24(MR),Cu No Volcs
125.2603901,125.3006102,125.2805001,7.32,8.23,18.9,90.53,4.69,6.87,2.57,1.11,9.7,32.43,4.64,1.284,56.386,1.103,1.988,0.291,17.894,0.449,7628.968,8.372,5.79,8.268,28.396,4.782,389.979,13.604,28.469,118.853,3.805,12.495,60.486,447.038,,1.906,2.001,6.808,60.486
125.3006102,125.3381551,125.3193827,8.44,2.57,19.18,67.25,0.63,5.58,1.37,0.62,2.63,29.646,6.963,2.04,46.177,0.724,1.646,0.218,15.512,0.634,889.484,10.547,7.007,8.479,13.852,4.327,227.051,9.493,6.002,125.238,2.612,2.326,37.197,422.479,,1.181,8.125,5.824,37.197
125.3381551,125.3828944,125.3605248,2.55,9.64,81.16,111.28,1.34,41.61,5.15,1.95,7.22,105.746,8.196,1.018,144.061,3.816,8.151,1.038,33.206,1.061,14147.494,14.442,7.424,16.474,20.712,11.259,292.369,14.351,14.855,362.354,6.56,3.614,65.459,743.331,,6.481,2.909,8.889,65.459
125.3828944,125.4352015,125.409048,3.3,6.78,36.55,50.99,2.98,10.53,3.03,2.54,10.52,83.997,2.832,0.904,101.813,4.488,9.447,1.249,17.864,1.168,1831.343,17.621,8.064,14.037,14.532,10.922,250.469,17.369,14.969,204.757,6.643,7.174,20.621,390.528,,2.958,3.22,8.364,20.621
125.4352015,125.471984,125.4535927,5.67,6.87,14.13,31.14,1.58,4.93,1.01,0.98,4.94,24.492,1.009,0.715,53.479,1.001,1.886,0.298,13.246,0.529,1640.275,9.671,8.374,7.671,7.062,3.906,227.865,9.979,9.871,81.513,2.695,4.903,54.34,190.802,,1.759,1.912,4.942,54.34
125.471984,125.5126269,125.4923054,7.9,2.24,26.62,33.61,0.75,7.57,1.61,0.86,2.46,67.928,3.194,0.632,74.705,1.847,3.835,0.575,40.233,2.753,1734.4,8.437,7.234,15.043,12.37,9,710.937,28.011,20.337,196.263,6.065,11.792,27.968,394.016,,3.048,6.103,6.592,27.968
125.5126269,125.5586223,125.5356246,4.22,9.6,114.94,43.5,2.17,5.85,1.33,1.86,4.77,60.212,1.207,0.423,57.581,1.471,3.353,0.526,19.292,0.941,1026.408,8.238,3.694,15.629,11.329,8.964,730.783,28.474,7.75,166.181,6.397,2.397,43.22,146.117,,1.65,4.419,5.922,43.22
125.5586223,125.6044266,125.5815244,3.23,5.68,33.2,37.55,1.82,6.61,1.82,0.88,2.23,10.541,2.719,0.282,25.907,0.919,1.553,0.241,10.892,3.068,927.201,7.625,1.308,13.498,12.593,1.559,95.187,4.681,1.768,57.16,1.602,1.585,35.315,396.492,,1.591,0.823,5.242,35.315
125.6044266,125.6445645,125.6244955,4.15,10.86,70.01,102.49,1.46,17.89,2.03,1.18,3.57,91.789,2.342,0.87,104.391,2.086,4.318,0.608,22.264,1.179,2186.806,20.257,5.266,18.764,29.374,8.461,385.598,20.739,12.991,197.121,5.815,5.003,32.609,452.621,,3.41,3.801,7.423,32.609
125.6445645,125.6725978,125.6585812,2.3,26.07,71.61,161.33,3.44,12.84,2.75,2.76,7.34,72.029,1.738,1.787,132.728,2.363,5.021,0.668,21.552,4.052,2386.498,25.098,10.593,15.296,13.934,8.431,326.789,17.347,16.744,231.092,6.857,12.844,14.004,210.491,,3.592,4.748,6.988,14.004
125.6725978,125.7019349,125.6872664,1.8,7.39,29.36,36.2,3.83,4.84,1.44,1.63,6.73,47.445,0.876,1.608,54.629,1.956,4.189,0.598,14.239,0.241,1282.216,12.63,6.723,10.65,11.106,7.034,178.115,15.284,14.292,153.639,6.135,4.476,14.95,325.019,,2.437,3.676,7.055,14.95
125.7019349,125.7370378,125.7194863,0.64,5.48,22.66,30,3.57,4.22,1.45,1.55,6.69,56.503,0.422,1.279,61.002,1.433,3.011,0.428,9.936,0.46,1063.344,8.711,7.653,10.326,6.765,8.629,160.413,10.554,12.01,124.349,4.181,6.493,15.487,114.418,,2.656,5.41,6.608,15.487
125.7370378,125.7913256,125.7641817,2.09,6.31,25.22,34.71,4.41,6.89,2.06,1.71,8.82,92.463,8.291,2.504,503.045,2.371,5.206,0.646,72.785,2.949,3993.473,24.337,40.996,24.533,24.135,15.996,2935.978,49.522,43.527,518.677,24.094,8.562,29.759,216.731,,9.809,7.432,14.355,29.759
125.7913256,125.845,125.8181628,6.14,17.2,55.45,48.19,3.27,6.24,1.91,1.26,5.64,72.553,1.319,4.209,55.281,1.937,3.975,0.569,31.66,0.307,769.076,8.569,3.326,13.279,16.786,8.614,436.581,18.363,13.348,139.175,4.415,23.171,44.031,319.044,,1.855,2.999,6.018,44.031
125.97,126.004586,125.987293,16.83,17.05,53.88,79.98,3.51,11.42,2.86,2.75,7.96,115.669,1.867,1.271,121.325,4.427,8.722,1.154,26.938,0.37,2107.75,15.338,10.087,19.49,16.781,13.291,446.249,25.785,24.322,238.962,8.513,7.545,40.348,310.09,,4.403,4.933,7.29,40.348
126.004586,126.061461,126.0330235,2.04,31.52,41.28,90.24,10.49,10.89,1.86,6.63,34.43,408.16,2.145,4.632,323.43,14.508,33.431,4.15,43.899,1.779,8043.661,29.247,36.758,50.269,20.839,42.912,1584.017,79.097,37.143,744.75,28.062,15.376,29.517,264.907,,9.966,15.192,18.768,29.517
126.061461,126.1164771,126.0889691,0.38,41.06,24.84,48.86,12.46,5.06,2.58,7.98,43.77,283.751,0.824,2.913,181.213,6.023,13.863,1.735,19.202,0.371,1687.926,13.142,23.029,33.316,10.937,27.621,634.787,39.461,25.295,387.823,14.072,6.861,23.848,110.644,,5.994,15.103,13.864,23.848
